focus_area,cluster,umap_x,umap_y
glaucoma,13,-0.35726586,3.769946
high blood pressure,13,-0.45726126,4.503143
paget's disease of bone,12,2.757959,2.7560136
urinary tract infections,13,-0.36234972,4.873088
alcohol use and older adults,13,-0.19429614,4.9328084
osteoarthritis,11,4.9562817,0.052684452
problems with taste,13,-0.38152203,4.5475
anxiety disorders,17,2.4153998,2.75494
diabetes,10,1.8686604,5.1929946
medicare and continuing care,12,2.4440587,2.7802565
knee replacement,17,-0.4501141,6.510935
balance problems,10,1.9179178,5.0673146
quitting smoking for older adults,17,4.4993644,3.1869025
prostate cancer,8,5.0843806,0.24461268
dry mouth,3,7.3133435,3.9580104
osteoporosis,11,1.2224135,6.7370806
kidney disease,12,3.4323573,1.1765925
alzheimer's disease,17,2.8093443,6.591852
rheumatoid arthritis,10,4.711632,7.031345
hearing loss,10,5.189327,6.8419495
low vision,17,-0.41736692,6.4371243
copd,6,0.6243588,5.3775525
age-related macular degeneration,11,3.944282,1.8720124
diabetic retinopathy,17,1.413895,2.2659245
depression,11,3.4758286,2.1295383
problems with smell,17,-0.37221608,6.3850417
breast cancer,0,1.9529969,2.565032
colorectal cancer,10,1.437071,4.5101595
parkinson's disease,11,4.076335,2.2129014
leukemia,16,5.8181715,7.701777
lung cancer,8,6.090888,1.2622927
urinary incontinence,0,1.9190243,2.6297255
stroke,7,1.3750664,4.4081244
psoriasis,12,2.1683145,1.855157
high blood cholesterol,12,2.485802,2.061901
peripheral arterial disease (p.a.d.),13,0.49745783,5.209141
prescription and illicit drug abuse,5,4.7897205,3.3810809
cataract,1,1.1846849,2.8470602
creating a family health history,12,2.8716447,5.435164
shingles,7,1.5339043,0.64970124
heart attack,10,5.5600457,7.0588655
skin cancer,8,5.773538,0.5659107
surviving cancer,11,0.79901177,3.8097417
gout,5,4.7152715,3.2653031
alzheimer's caregiving,12,2.6323943,1.8377662
dry eye,8,5.542981,0.57492405
gum (periodontal) disease,0,1.1790309,3.079631
heart failure,12,1.2124465,1.5532162
hairy cell leukemia,17,0.22409685,1.2721852
vulvar cancer,8,6.223853,1.1120768
gallbladder cancer,8,6.114406,0.9872425
atypical chronic myelogenous leukemia,13,-0.30448627,3.9291682
myelodysplastic/ myeloproliferative neoplasms,11,3.7350104,2.5027277
adult acute myeloid leukemia,0,3.0761425,2.7060244
childhood soft tissue sarcoma,8,6.016723,1.604605
thymoma and thymic carcinoma,15,4.372887,3.8261933
wilms tumor and other childhood kidney tumors,8,6.5406046,1.0944287
anal cancer,1,5.7432437,-0.34349325
childhood extracranial germ cell tumors,9,6.442955,7.3734326
