focus_area,cluster,umap_x,umap_y,specialty
glaucoma,13,-0.35726586,3.769946,Infectious Diseases & Oncology
high blood pressure,13,-0.45726126,4.503143,Infectious Diseases & Oncology
paget's disease of bone,12,2.757959,2.7560136,Immunology & Hematology
urinary tract infections,13,-0.36234972,4.873088,Infectious Diseases & Oncology
alcohol use and older adults,13,-0.19429614,4.9328084,Infectious Diseases & Oncology
osteoarthritis,11,4.9562817,0.052684452,Neurology & Movement Disorders
problems with taste,13,-0.38152203,4.5475,Infectious Diseases & Oncology
anxiety disorders,17,2.4153998,2.75494,Neurology & Genetic Disorders
diabetes,10,1.8686604,5.1929946,Pediatrics & Developmental Disorders
medicare and continuing care,12,2.4440587,2.7802565,Immunology & Hematology
knee replacement,17,-0.4501141,6.510935,Neurology & Genetic Disorders
balance problems,10,1.9179178,5.0673146,Pediatrics & Developmental Disorders
quitting smoking for older adults,17,4.4993644,3.1869025,Neurology & Genetic Disorders
prostate cancer,8,5.0843806,0.24461268,General Medicine & Common Conditions
dry mouth,3,7.3133435,3.9580104,General Medicine & Mixed Conditions
osteoporosis,11,1.2224135,6.7370806,Neurology & Movement Disorders
kidney disease,12,3.4323573,1.1765925,Immunology & Hematology
alzheimer's disease,17,2.8093443,6.591852,Neurology & Genetic Disorders
rheumatoid arthritis,10,4.711632,7.031345,Pediatrics & Developmental Disorders
hearing loss,10,5.189327,6.8419495,Pediatrics & Developmental Disorders
low vision,17,-0.41736692,6.4371243,Neurology & Genetic Disorders
copd,6,0.6243588,5.3775525,Neurology & Autonomic Disorders
age-related macular degeneration,11,3.944282,1.8720124,Neurology & Movement Disorders
diabetic retinopathy,17,1.413895,2.2659245,Neurology & Genetic Disorders
depression,11,3.4758286,2.1295383,Neurology & Movement Disorders
problems with smell,17,-0.37221608,6.3850417,Neurology & Genetic Disorders
breast cancer,0,1.9529969,2.565032,Genetic & Rare Diseases
colorectal cancer,10,1.437071,4.5101595,Pediatrics & Developmental Disorders
parkinson's disease,11,4.076335,2.2129014,Neurology & Movement Disorders
leukemia,16,5.8181715,7.701777,Gastroenterology & Infectious Diseases
lung cancer,8,6.090888,1.2622927,General Medicine & Common Conditions
urinary incontinence,0,1.9190243,2.6297255,Genetic & Rare Diseases
stroke,7,1.3750664,4.4081244,Genetic & Rare Diseases
psoriasis,12,2.1683145,1.855157,Immunology & Hematology
high blood cholesterol,12,2.485802,2.061901,Immunology & Hematology
peripheral arterial disease (p.a.d.),13,0.49745783,5.209141,Infectious Diseases & Oncology
prescription and illicit drug abuse,5,4.7897205,3.3810809,Nephrology & Rheumatology
cataract,1,1.1846849,2.8470602,Genetic & Rare Diseases
creating a family health history,12,2.8716447,5.435164,Immunology & Hematology
shingles,7,1.5339043,0.64970124,Genetic & Rare Diseases
heart attack,10,5.5600457,7.0588655,Pediatrics & Developmental Disorders
skin cancer,8,5.773538,0.5659107,General Medicine & Common Conditions
surviving cancer,11,0.79901177,3.8097417,Neurology & Movement Disorders
gout,5,4.7152715,3.2653031,Nephrology & Rheumatology
alzheimer's caregiving,12,2.6323943,1.8377662,Immunology & Hematology
dry eye,8,5.542981,0.57492405,General Medicine & Common Conditions
gum (periodontal) disease,0,1.1790309,3.079631,Genetic & Rare Diseases
heart failure,12,1.2124465,1.5532162,Immunology & Hematology
hairy cell leukemia,17,0.22409685,1.2721852,Neurology & Genetic Disorders
vulvar cancer,8,6.223853,1.1120768,General Medicine & Common Conditions
gallbladder cancer,8,6.114406,0.9872425,General Medicine & Common Conditions
atypical chronic myelogenous leukemia,13,-0.30448627,3.9291682,Infectious Diseases & Oncology
myelodysplastic/ myeloproliferative neoplasms,11,3.7350104,2.5027277,Neurology & Movement Disorders
adult acute myeloid leukemia,0,3.0761425,2.7060244,Genetic & Rare Diseases
childhood soft tissue sarcoma,8,6.016723,1.604605,General Medicine & Common Conditions
thymoma and thymic carcinoma,15,4.372887,3.8261933,Metabolic & Kidney Disorders
wilms tumor and other childhood kidney tumors,8,6.5406046,1.0944287,General Medicine & Common Conditions
anal cancer,1,5.7432437,-0.34349325,Genetic & Rare Diseases
childhood extracranial germ cell tumors,9,6.442955,7.3734326,Genetic & Rare Diseases
uterine sarcoma,13,0.649169,5.3505864,Infectious Diseases & Oncology
polycythemia vera,8,5.980259,1.4255966,General Medicine & Common Conditions
chronic myelogenous leukemia,10,4.972069,7.7626543,Pediatrics & Developmental Disorders
merkel cell carcinoma,11,3.1456192,2.10095,Neurology & Movement Disorders
extragonadal germ cell tumors,12,2.0104396,2.2699213,Immunology & Hematology
renal cell cancer,12,2.2575328,3.743453,Immunology & Hematology
chronic neutrophilic leukemia,8,6.3100467,1.0330191,General Medicine & Common Conditions
small cell lung cancer,12,2.853659,5.3884416,Immunology & Hematology
ovarian low malignant potential tumors,6,2.001361,4.2047257,Neurology & Autonomic Disorders
chronic eosinophilic leukemia,0,1.6586924,4.4209776,Genetic & Rare Diseases
"ovarian, fallopian tube, and primary peritoneal cancer",12,1.6329472,2.0821717,Immunology & Hematology
colon cancer,17,2.929919,3.3894398,Neurology & Genetic Disorders
liver (hepatocellular) cancer,12,2.1611762,2.2126987,Immunology & Hematology
testicular cancer,15,3.7531652,4.614591,Metabolic & Kidney Disorders
intraocular (uveal) melanoma,8,5.7939534,-0.25328442,General Medicine & Common Conditions
hypopharyngeal cancer,13,-0.552006,4.7784357,Infectious Diseases & Oncology
"myelodysplastic/ myeloproliferative neoplasm, unclassifiable",17,2.4173837,3.2735913,Neurology & Genetic Disorders
rectal cancer,2,5.265109,0.14703648,Neurology & Neuromuscular Disorders
myelodysplastic syndromes,5,4.422071,3.1232092,Nephrology & Rheumatology
childhood astrocytomas,0,1.518349,3.0724921,Genetic & Rare Diseases
metastatic squamous neck cancer with occult primary,8,5.807199,0.58817,General Medicine & Common Conditions
small intestine cancer,13,1.7293919,5.8830013,Infectious Diseases & Oncology
childhood acute myeloid leukemia and other myeloid malignancies,0,2.8539612,3.5318816,Genetic & Rare Diseases
non-small cell lung cancer,11,0.795809,3.8816826,Neurology & Movement Disorders
