focus_area_norm,focus_area_simple,sample_count,focus_area_display,specialty,specialty_score,assignment_source,runner_up,runner_up_score,score_margin
breast cancer,breast cancer,58,Breast Cancer,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
prostate cancer,prostate cancer,48,Prostate Cancer,Oncology,1.0,regex_override,Nephrology & Urology,0.07299661,0.9270033910870552
stroke,stroke,35,Stroke,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
lung cancer,lung cancer,34,Lung Cancer,Oncology,1.0,regex_override,Oncology,0.5131399,0.48686009645462036
skin cancer,skin cancer,34,Skin Cancer,Oncology,1.0,regex_override,Dermatology,0.43420774,0.5657922625541687
alzheimer's disease,alzheimer s disease,30,Alzheimer's Disease,Neurology & Neurosurgery,1.0,regex_override,Gastroenterology & Hepatology,0.071613744,0.9283862560987473
colorectal cancer,colorectal cancer,29,Colorectal Cancer,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
causes of diabetes,causes of diabetes,28,Causes of Diabetes,Endocrinology & Diabetes,0.4337369203567505,anchor_similarity,General & Preventive Medicine,0.0,0.4337369203567505
heart failure,heart failure,28,Heart Failure,Cardiology & Vascular,1.0,regex_override,Hematology,0.062642865,0.937357135117054
heart attack,heart attack,28,Heart Attack,Cardiology & Vascular,1.0,regex_override,General & Preventive Medicine,0.0,1.0
high blood cholesterol,high blood cholesterol,28,High Blood Cholesterol,Hematology,0.3464377820491791,anchor_similarity,Obstetrics & Gynecology,0.052643657,0.2937941253185272
high blood pressure,high blood pressure,27,High Blood Pressure,Cardiology & Vascular,1.0,regex_override,Cardiology & Vascular,0.25,0.75
wilson disease,wilson disease,25,Wilson Disease,General & Preventive Medicine,0.06617067009210587,fallback_default,Pulmonology & Respiratory,0.058887925,0.0072827450931072235
age-related macular degeneration,age related macular degeneration,25,Age-related Macular Degeneration,General & Preventive Medicine,0.14297553896903992,fallback_default,General & Preventive Medicine,0.0,0.14297553896903992
parkinson's disease,parkinson s disease,25,Parkinson's Disease,Neurology & Neurosurgery,1.0,regex_override,Gastroenterology & Hepatology,0.07107482,0.9289251789450645
leukemia,leukemia,22,Leukemia,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
osteoporosis,osteoporosis,21,Osteoporosis,Musculoskeletal & Orthopedics,1.0,regex_override,General & Preventive Medicine,0.0,1.0
shingles,shingles,21,Shingles,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hemochromatosis,hemochromatosis,20,Hemochromatosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
diabetes,diabetes,20,Diabetes,Endocrinology & Diabetes,0.49965110421180725,anchor_similarity,General & Preventive Medicine,0.0,0.49965110421180725
polycythemia vera,polycythemia vera,20,Polycythemia Vera,Hematology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
gum (periodontal) disease,gum periodontal disease,19,Gum (Periodontal) Disease,Dental & Oral Health,1.0,regex_override,Gastroenterology & Hepatology,0.04714222,0.952857781201601
psoriasis,psoriasis,19,Psoriasis,Dermatology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
neuroblastoma,neuroblastoma,19,Neuroblastoma,Neurology & Neurosurgery,0.30000001192092896,anchor_similarity,General & Preventive Medicine,0.0,0.30000001192092896
narcolepsy,narcolepsy,19,Narcolepsy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
langerhans cell histiocytosis,langerhans cell histiocytosis,19,Langerhans Cell Histiocytosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
polycystic kidney disease,polycystic kidney disease,19,Polycystic kidney disease,Nephrology & Urology,1.0,regex_override,Gastroenterology & Hepatology,0.05618212,0.9438178800046444
rheumatoid arthritis,rheumatoid arthritis,19,Rheumatoid Arthritis,Immunology & Rheumatology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
diabetic retinopathy,diabetic retinopathy,19,Diabetic Retinopathy,Endocrinology & Diabetes,0.4000000059604645,anchor_similarity,General & Preventive Medicine,0.0,0.4000000059604645
alagille syndrome,alagille syndrome,18,Alagille syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
alpha-1 antitrypsin deficiency,alpha 1 antitrypsin deficiency,18,Alpha-1 Antitrypsin Deficiency,General & Preventive Medicine,0.021584805101156235,fallback_default,General & Preventive Medicine,0.0,0.021584805101156235
