specialty,unique_focus_areas,total_samples,median_confidence
General & Preventive Medicine,2270,7180,0.0
Genetics & Rare Disorders,1149,4011,1.0
Neurology & Neurosurgery,310,1256,1.0
Oncology,192,988,1.0
Nephrology & Urology,84,457,1.0
Cardiology & Vascular,89,425,1.0
Endocrinology & Diabetes,98,385,0.4662538319826126
Hematology,49,243,1.0
Infectious Diseases,74,193,1.0
Immunology & Rheumatology,52,187,1.0
Gastroenterology & Hepatology,38,179,1.0
Ophthalmology,57,172,1.0
Musculoskeletal & Orthopedics,44,144,1.0
Dermatology,48,142,1.0
Pulmonology & Respiratory,24,121,1.0
Dental & Oral Health,51,110,1.0
Psychiatry & Behavioral Health,42,68,1.0
Pediatrics & Development,28,50,1.0
Obstetrics & Gynecology,22,47,1.0
Otolaryngology & ENT,21,40,1.0
